E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.36,0.35,0.16,0.09,,0.21,0.22,0.22,0.19,0.05,0.22,0.25,0.19,0.22,0.21,
0.18,0.12,0.09,0.12,0.47,0.14,0.26,0.27,0.2,0.16,0.23,0.23,0.26,0.33,0.21,0.14349137
0.08,0.19,0.04,0.2,0.52,0.14,0.22,0.2,0.18,0.1,0.18,0.17,0.14,0.22,0.35,0.14193438
,,,,,,,,,,,,,,,0.0
0.07,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.01,0.01,0.0,0.01,0.12,0.028715748
0.0,0.02,0.01,0.0,0.04,0.13,0.07,0.02,0.05,0.08,0.03,0.04,0.06,0.03,0.09,0.024398725
0.27,,,0.52,0.15,0.29,0.44,0.17,0.22,0.17,,,0.39,0.62,,0.0
0.44,0.25,0.2,0.29,0.13,0.19,0.41,0.23,0.49,0.31,0.23,0.19,0.33,0.29,0.47,0.0
0.1,0.09,0.08,0.01,0.0,0.01,0.04,0.06,0.02,0.18,0.0,0.0,0.04,0.01,0.0,0.017494831000000002
0.04,0.02,0.12,0.01,0.19,0.04,0.01,0.07,0.15,0.14,0.0,0.0,0.08,0.08,0.08,0.013269775
0.0,0.01,0.04,0.01,0.04,0.06,0.0,0.01,0.01,0.0,0.04,0.05,0.01,0.02,0.08,0.019517206
0.04,0.03,0.01,0.01,0.02,0.0,0.03,0.09,0.01,0.0,0.01,0.01,0.01,0.0,0.03,0.016991554
0.03,0.02,0.08,0.04,0.08,0.08,0.06,0.05,0.02,0.08,0.0,0.0,0.02,0.01,0.0,0.01517381
0.01,0.04,0.02,0.01,0.12,0.02,0.04,0.03,0.04,0.0,0.03,0.01,0.02,0.01,0.17,0.02550309
0.04,0.07,0.06,0.01,0.04,0.08,0.0,0.03,0.0,0.12,0.0,0.0,0.0,0.01,0.0,0.023678241000000003
0.15,0.06,0.07,0.03,0.02,0.08,0.04,0.01,0.04,0.13,0.0,0.0,0.0,0.01,0.0,0.028073931
0.12,0.1,0.2,0.0,0.08,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.07039989999999999
0.14,0.11,0.01,0.08,0.08,0.17,0.13,0.19,0.18,0.16,0.0,0.0,0.22,0.13,0.0,0.048345
0.0,0.0,0.12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07736858
0.11,0.14,0.05,0.35,0.07,0.21,0.6,0.1,0.68,0.28,,,0.5,0.54,0.4,0.0
0.18,0.09,0.14,0.0,0.07,0.0,0.0,0.39,0.0,0.19,0.0,0.0,0.18,0.0,0.0,0.04235905
0.02,0.01,0.01,0.03,0.14,0.0,0.05,0.06,0.0,0.0,0.02,0.15,0.06,0.02,0.08,0.07940168
0.03,0.02,0.01,0.0,0.02,0.0,0.03,0.11,0.01,0.0,0.0,0.01,0.05,0.01,0.0,0.01918676
0.03,0.08,0.06,0.01,,0.0,0.0,0.13,0.04,0.0,0.0,0.0,0.14,0.04,0.0,0.034765474
0.23,0.23,0.18,0.37,0.07,0.09,0.24,0.16,0.2,0.21,0.0,0.0,0.19,0.17,0.0,0.014139637
0.32,0.13,0.22,0.4,0.08,0.26,0.23,0.14,0.14,0.24,0.0,0.0,0.0,0.21,0.0,0.007070757
0.01,0.02,0.02,0.01,0.04,0.04,0.01,0.11,0.02,0.0,0.04,0.01,0.04,0.01,0.06,0.003987958
0.01,0.08,0.01,0.0,0.14,0.0,0.03,0.04,0.02,0.07,0.02,0.06,0.06,0.01,0.2,0.03517052
0.01,0.01,0.01,0.01,0.09,0.05,0.01,0.08,0.04,0.11,0.0,0.0,0.07,0.02,0.0,0.027609708
0.07,0.0,0.02,0.0,0.04,0.0,0.07,0.12,0.03,0.0,0.02,0.02,0.03,0.03,0.06,0.021936066
0.07,0.03,0.05,0.02,0.11,0.06,0.04,0.09,0.09,0.25,0.0,0.0,0.04,0.06,0.0,0.012274537
0.24,0.02,0.08,0.14,0.24,0.18,0.16,0.04,0.17,0.14,0.0,0.0,0.12,0.18,0.0,0.021204779
0.02,0.02,0.01,0.0,0.05,0.06,0.0,0.01,0.01,0.0,0.05,0.01,0.02,0.0,0.17,0.04278041
0.02,0.03,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.05,0.01,0.01,0.11,0.019410362
0.03,0.02,0.01,0.01,0.02,0.04,0.05,0.03,0.02,0.0,0.03,0.02,0.03,0.0,0.08,0.032721836000000004
,,,,,,,,,,,,,,,0.0
0.0,0.02,0.0,0.0,,0.0,0.02,0.1,0.02,0.13,0.03,0.05,0.06,0.02,0.01,0.0006746434399999999
0.0,0.06,0.01,0.01,0.1,0.01,0.03,0.08,0.02,0.18,0.07,0.07,0.04,0.01,0.17,0.045692716
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.02,0.01,0.03,0.0,0.07,0.08,0.01,0.0,0.02,0.05,0.08,0.01,0.0,0.009604957
0.01,0.01,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.03,0.01,0.02,0.0,0.015000963
0.0,0.01,0.04,0.0,0.02,0.0,0.03,0.02,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.031855542
0.0,0.0,0.07,0.0,0.01,0.0,0.06,0.01,0.03,0.0,0.02,0.01,0.01,0.01,0.0,0.048878353
0.05,0.06,0.06,0.01,0.06,0.0,0.03,0.13,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.016878393000000002
0.04,0.02,0.02,0.01,0.03,0.0,0.03,0.06,0.01,0.0,0.01,0.06,0.03,0.01,0.0,0.0066275587
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,0.19,,,0.08,,0.0,0.0,,0.1,0.0,0.03481356
0.04,0.02,0.01,0.01,0.07,0.01,0.01,0.01,0.01,,0.06,0.05,0.03,0.02,0.0,0.029722676
,,,,,,,,,,,,,,,0.0
0.02,0.01,0.02,0.01,0.03,0.0,0.02,0.04,0.02,0.0,0.02,0.01,0.01,0.01,0.0,0.012204545
,,,,,,,,,,,,,,,0.0
